event_index,event_id,event_title,group,item_index,item_id,field,current_text,new_text,notes
1,team-message,被忽略的消息,attentionHooks,5,social-risk,text,直接指出可能让气氛变紧，也可能让边界变清楚。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,5,social-risk,description,直接指出可能让气氛变紧，也可能让边界变清楚。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,5,social-risk,type,hostility,,注意力统计类型
1,team-message,被忽略的消息,attentionHooks,6,action-opportunity,label,行动机会,,注意力标题/标签
1,team-message,被忽略的消息,attentionHooks,6,action-opportunity,text,相似方案已经打开讨论入口，可以顺势补充和合并。,,注意力浮现文案
1,team-message,被忽略的消息,attentionHooks,6,action-opportunity,description,相似方案已经打开讨论入口，可以顺势补充和合并。,,注意力说明
1,team-message,被忽略的消息,attentionHooks,6,action-opportunity,type,process,,注意力统计类型
1,team-message,被忽略的消息,tags,1,rejection,label,这是被否定,,事件标注按钮主文案
1,team-message,被忽略的消息,tags,1,rejection,description,把沉默理解成他人不认可自己。,,事件标注说明
1,team-message,被忽略的消息,tags,2,competition,label,这是竞争,,事件标注按钮主文案
1,team-message,被忽略的消息,tags,2,competition,description,把讨论看成资源和位置的争夺。,,事件标注说明
1,team-message,被忽略的消息,tags,3,noise,label,这是信息噪音,,事件标注按钮主文案
1,team-message,被忽略的消息,tags,3,noise,description,认为大家可能只是没有看见或没有接上。,,事件标注说明
1,team-message,被忽略的消息,tags,4,coordination,label,这是协作机会,,事件标注按钮主文案
1,team-message,被忽略的消息,tags,4,coordination,description,把相似想法看成可以合流的信号。,,事件标注说明
1,team-message,被忽略的消息,behaviors,1,clarify,label,补充说明,,行为回应按钮主文案
1,team-message,被忽略的消息,behaviors,1,clarify,description,把自己的原始方案展开，邀请大家合并讨论。,,行为回应说明
1,team-message,被忽略的消息,behaviors,2,withdraw,label,先退出,,行为回应按钮主文案
1,team-message,被忽略的消息,behaviors,2,withdraw,description,不再发言，观察大家后续怎么说。,,行为回应说明
1,team-message,被忽略的消息,behaviors,3,push-back,label,直接指出,,行为回应按钮主文案
1,team-message,被忽略的消息,behaviors,3,push-back,description,提醒大家自己刚刚已经提出过类似想法。,,行为回应说明
1,team-message,被忽略的消息,behaviors,4,ask,label,询问连接,,行为回应按钮主文案
1,team-message,被忽略的消息,behaviors,4,ask,description,问对方是否愿意一起把两个方案拼成一个版本。,,行为回应说明
1,team-message,被忽略的消息,attributions,1,make,label,我可以创造入口,,人格归因按钮主文案
1,team-message,被忽略的消息,attributions,1,make,description,把注意力放在下一步能产出的东西上。,,人格归因说明
1,team-message,被忽略的消息,attributions,2,read,label,我要读懂局势,,人格归因按钮主文案
1,team-message,被忽略的消息,attributions,2,read,description,把这次经验归结为需要更早判断群体节奏。,,人格归因说明
1,team-message,被忽略的消息,attributions,3,please,label,我要减少摩擦,,人格归因按钮主文案
1,team-message,被忽略的消息,attributions,3,please,description,把重点放在让别人更舒服地接住自己。,,人格归因说明
1,team-message,被忽略的消息,attributions,4,watch,label,我先保持距离,,人格归因按钮主文案
1,team-message,被忽略的消息,attributions,4,watch,description,把沉默当成保护自己的方式。,,人格归因说明
2,late-feedback,迟来的反馈,event,,late-feedback,title,迟来的反馈,,事件标题
2,late-feedback,迟来的反馈,event,,late-feedback,text,你交付了一份草案。对方两天后才回复，只说“方向不太对，我们再看看”。没有指出具体问题。,,事件正文
2,late-feedback,迟来的反馈,firstReactions,1,what-does-wrong-mean,text,“方向不太对”到底是哪儿不对？这话也太空了。,,第一反应选项，玩家可见
2,late-feedback,迟来的反馈,firstReactions,1,what-does-wrong-mean,tone,追问,,内部倾向，可改但不会直接显示
2,late-feedback,迟来的反馈,firstReactions,2,maybe-i-did-badly,text,完了，是不是我这版真的很差。,,第一反应选项，玩家可见
2,late-feedback,迟来的反馈,firstReactions,2,maybe-i-did-badly,tone,自疑,,内部倾向，可改但不会直接显示
2,late-feedback,迟来的反馈,firstReactions,3,they-dont-know-either,text,我感觉对方也没想清楚，只是先把我挡回来。,,第一反应选项，玩家可见
2,late-feedback,迟来的反馈,firstReactions,3,they-dont-know-either,tone,结构,,内部倾向，可改但不会直接显示
2,late-feedback,迟来的反馈,firstReactions,4,need-a-standard,text,先别慌，我得把标准问出来。,,第一反应选项，玩家可见
2,late-feedback,迟来的反馈,firstReactions,4,need-a-standard,tone,整理,,内部倾向，可改但不会直接显示
2,late-feedback,迟来的反馈,attentionHooks,1,tone,label,语气,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,1,tone,text,回复很短，缺少安抚和具体说明。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,1,tone,description,回复很短，缺少安抚和具体说明。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,1,tone,type,tone,,注意力统计类型
2,late-feedback,迟来的反馈,attentionHooks,2,rule,label,规则,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,2,rule,text,对方没有说明什么才算方向正确。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,2,rule,description,对方没有说明什么才算方向正确。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,2,rule,type,rule,,注意力统计类型
2,late-feedback,迟来的反馈,attentionHooks,3,process,label,流程,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,3,process,text,草案、反馈、修订之间缺少清晰步骤。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,3,process,description,草案、反馈、修订之间缺少清晰步骤。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,3,process,type,process,,注意力统计类型
2,late-feedback,迟来的反馈,attentionHooks,4,structure,label,结构,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,4,structure,text,问题可能来自目标、标准和决策方式没有对齐。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,4,structure,description,问题可能来自目标、标准和决策方式没有对齐。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,4,structure,type,structure,,注意力统计类型
2,late-feedback,迟来的反馈,attentionHooks,5,other-motive,label,对方动机,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,5,other-motive,text,对方也许还没想清楚，只能先给出模糊判断。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,5,other-motive,description,对方也许还没想清楚，只能先给出模糊判断。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,5,other-motive,type,other-motive,,注意力统计类型
2,late-feedback,迟来的反馈,attentionHooks,6,attack-signal,label,攻击信号,,注意力标题/标签
2,late-feedback,迟来的反馈,attentionHooks,6,attack-signal,text,模糊否定可能被感受为对作品和能力的打击。,,注意力浮现文案
2,late-feedback,迟来的反馈,attentionHooks,6,attack-signal,description,模糊否定可能被感受为对作品和能力的打击。,,注意力说明
2,late-feedback,迟来的反馈,attentionHooks,6,attack-signal,type,attack-signal,,注意力统计类型
2,late-feedback,迟来的反馈,tags,1,vague-threat,label,这是模糊威胁,,事件标注按钮主文案
2,late-feedback,迟来的反馈,tags,1,vague-threat,description,把不明确反馈理解成潜在风险。,,事件标注说明
2,late-feedback,迟来的反馈,tags,2,quality-gap,label,这是质量差距,,事件标注按钮主文案
2,late-feedback,迟来的反馈,tags,2,quality-gap,description,认为作品可能没有达到对方期待。,,事件标注说明
2,late-feedback,迟来的反馈,tags,3,missing-criteria,label,这是标准缺失,,事件标注按钮主文案
2,late-feedback,迟来的反馈,tags,3,missing-criteria,description,问题可能在双方还没有对齐判断标准。,,事件标注说明
2,late-feedback,迟来的反馈,tags,4,shared-search,label,这是共同探索,,事件标注按钮主文案
2,late-feedback,迟来的反馈,tags,4,shared-search,description,把反馈看成还在找方向，而不是失败结论。,,事件标注说明
2,late-feedback,迟来的反馈,behaviors,1,request-criteria,label,索要标准,,行为回应按钮主文案
2,late-feedback,迟来的反馈,behaviors,1,request-criteria,description,请对方列出判断方向是否正确的三个条件。,,行为回应说明
2,late-feedback,迟来的反馈,behaviors,2,revise-fast,label,立刻重做,,行为回应按钮主文案
2,late-feedback,迟来的反馈,behaviors,2,revise-fast,description,先按自己的理解快速改一版。,,行为回应说明
2,late-feedback,迟来的反馈,behaviors,3,defend,label,解释原意,,行为回应按钮主文案
2,late-feedback,迟来的反馈,behaviors,3,defend,description,说明草案背后的判断，争取让对方理解。,,行为回应说明
2,late-feedback,迟来的反馈,behaviors,4,pause,label,暂停消化,,行为回应按钮主文案
2,late-feedback,迟来的反馈,behaviors,4,pause,description,先不回复，等情绪下降后再整理问题。,,行为回应说明
2,late-feedback,迟来的反馈,attributions,1,systemize,label,我需要建立系统,,人格归因按钮主文案
2,late-feedback,迟来的反馈,attributions,1,systemize,description,以后先问标准，再推进内容。,,人格归因说明
2,late-feedback,迟来的反馈,attributions,2,experiment,label,我可以快速试错,,人格归因按钮主文案
2,late-feedback,迟来的反馈,attributions,2,experiment,description,把模糊看成迭代空间。,,人格归因说明
2,late-feedback,迟来的反馈,attributions,3,appease,label,我要更贴合对方,,人格归因按钮主文案
2,late-feedback,迟来的反馈,attributions,3,appease,description,把问题归因于自己没有提前照顾对方期待。,,人格归因说明
2,late-feedback,迟来的反馈,attributions,4,protect,label,我要保留能量,,人格归因按钮主文案
2,late-feedback,迟来的反馈,attributions,4,protect,description,把这次经历归结为不能太快投入。,,人格归因说明
3,operator-hidden-charge,运营商扣费,event,,operator-hidden-charge,title,运营商扣费,,事件标题
3,operator-hidden-charge,运营商扣费,event,,operator-hidden-charge,text,你发现运营商莫名其妙扣了 35 元话费。你越想越烦，觉得这钱像是被一个看不见的系统悄悄吞掉了。中午你本来想吃饭，最后却说：算了，不吃了，减肥。,,事件正文
3,operator-hidden-charge,运营商扣费,firstReactions,1,thirty-five-still-hurts,text,35 块不是大钱，但它就这么没了，我真的很烦。,,第一反应选项，玩家可见
3,operator-hidden-charge,运营商扣费,firstReactions,1,thirty-five-still-hurts,tone,刺痛,,内部倾向，可改但不会直接显示
3,operator-hidden-charge,运营商扣费,firstReactions,2,where-did-it-go,text,这钱到底从哪扣的？我连规则都看不见。,,第一反应选项，玩家可见
3,operator-hidden-charge,运营商扣费,firstReactions,2,where-did-it-go,tone,追查,,内部倾向，可改但不会直接显示
3,operator-hidden-charge,运营商扣费,firstReactions,3,skip-lunch-now,text,算了，中午不吃了，至少能把这口气补回来。,,第一反应选项，玩家可见
3,operator-hidden-charge,运营商扣费,firstReactions,3,skip-lunch-now,tone,自罚,,内部倾向，可改但不会直接显示
3,operator-hidden-charge,运营商扣费,firstReactions,4,complain-first,text,不行，先查账单，不能让身体替运营商买单。,,第一反应选项，玩家可见
3,operator-hidden-charge,运营商扣费,firstReactions,4,complain-first,tone,行动,,内部倾向，可改但不会直接显示
3,operator-hidden-charge,运营商扣费,attentionHooks,1,economic-loss,label,小额经济损失,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,1,economic-loss,text,这不是一笔大钱，但它真实地减少了你的生活预算。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,1,economic-loss,description,这不是一笔大钱，但它真实地减少了你的生活预算。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,1,economic-loss,type,responsibility,,注意力统计类型
3,operator-hidden-charge,运营商扣费,attentionHooks,2,opaque-rules,label,不透明规则,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,2,opaque-rules,text,你不知道这笔扣费从哪里来，也不知道该如何快速追回。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,2,opaque-rules,description,你不知道这笔扣费从哪里来，也不知道该如何快速追回。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,2,opaque-rules,type,rule,,注意力统计类型
3,operator-hidden-charge,运营商扣费,attentionHooks,3,institutional-power,label,机构压迫感,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,3,institutional-power,text,面对运营商这样的庞大系统，你很难获得对等解释权。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,3,institutional-power,description,面对运营商这样的庞大系统，你很难获得对等解释权。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,3,institutional-power,type,power-relation,,注意力统计类型
3,operator-hidden-charge,运营商扣费,attentionHooks,4,anger-transfer,label,愤怒转移,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,4,anger-transfer,text,你没有立刻把愤怒指向系统，而是开始压缩自己的需求。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,4,anger-transfer,description,你没有立刻把愤怒指向系统，而是开始压缩自己的需求。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,4,anger-transfer,type,hostility,,注意力统计类型
3,operator-hidden-charge,运营商扣费,attentionHooks,5,self-punishment,label,自我惩罚倾向,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,5,self-punishment,text,你试图通过不吃饭，把外部损失从身体上补回来。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,5,self-punishment,description,你试图通过不吃饭，把外部损失从身体上补回来。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,5,self-punishment,type,hidden-belittling,,注意力统计类型
3,operator-hidden-charge,运营商扣费,attentionHooks,6,survival-pressure,label,生活压力,,注意力标题/标签
3,operator-hidden-charge,运营商扣费,attentionHooks,6,survival-pressure,text,小额损失之所以刺痛，是因为你正在精确计算每一份资源。,,注意力浮现文案
3,operator-hidden-charge,运营商扣费,attentionHooks,6,survival-pressure,description,小额损失之所以刺痛，是因为你正在精确计算每一份资源。,,注意力说明
3,operator-hidden-charge,运营商扣费,attentionHooks,6,survival-pressure,type,tone,,注意力统计类型
3,operator-hidden-charge,运营商扣费,tags,1,small-money-let-it-go,label,只是 35 块，算了吧,,事件标注按钮主文案
3,operator-hidden-charge,运营商扣费,tags,1,small-money-let-it-go,description,把损失缩小成不值得追究的小事。,,事件标注说明
3,operator-hidden-charge,运营商扣费,tags,2,opaque-system-extraction,label,这是不透明系统的小额掠夺,,事件标注按钮主文案
3,operator-hidden-charge,运营商扣费,tags,2,opaque-system-extraction,description,把痛感指向规则不透明和解释权不对等。,,事件标注说明
3,operator-hidden-charge,运营商扣费,tags,3,tricked-again,label,我又被规则坑了,,事件标注按钮主文案
3,operator-hidden-charge,运营商扣费,tags,3,tricked-again,description,把扣费理解成自己再次被系统钻了空子。,,事件标注说明
3,operator-hidden-charge,运营商扣费,tags,4,body-pays-the-bill,label,让身体替损失买单,,事件标注按钮主文案
3,operator-hidden-charge,运营商扣费,tags,4,body-pays-the-bill,description,把外部损失转成对自己需求的压缩。,,事件标注说明
3,operator-hidden-charge,运营商扣费,behaviors,1,ignore-it,label,忍了,,行为回应按钮主文案
3,operator-hidden-charge,运营商扣费,behaviors,1,ignore-it,description,当作没发生，把这件事从今天里推开。,,行为回应说明
3,operator-hidden-charge,运营商扣费,behaviors,2,complain-to-operator,label,查账单并投诉,,行为回应按钮主文案
3,operator-hidden-charge,运营商扣费,behaviors,2,complain-to-operator,description,去查明扣费来源，联系客服要求解释。,,行为回应说明
3,operator-hidden-charge,运营商扣费,behaviors,3,ask-friends,label,发到群里问问,,行为回应按钮主文案
3,operator-hidden-charge,运营商扣费,behaviors,3,ask-friends,description,向朋友吐槽，确认是不是有人也遇到过。,,行为回应说明
3,operator-hidden-charge,运营商扣费,behaviors,4,skip-lunch,label,中午不吃了,,行为回应按钮主文案
3,operator-hidden-charge,运营商扣费,behaviors,4,skip-lunch,description,试图用节食抵消这笔莫名其妙的损失。,,行为回应说明
3,operator-hidden-charge,运营商扣费,attributions,1,too-poor,label,是我太穷了,,人格归因按钮主文案
3,operator-hidden-charge,运营商扣费,attributions,1,too-poor,description,把刺痛归因于自己资源太紧，连 35 元都放不下。,,人格归因说明
3,operator-hidden-charge,运营商扣费,attributions,2,system-is-opaque,label,扣费系统本来就不透明,,人格归因按钮主文案
3,operator-hidden-charge,运营商扣费,attributions,2,system-is-opaque,description,把问题放回规则和解释权，而不是责怪自己小题大做。,,人格归因说明
3,operator-hidden-charge,运营商扣费,attributions,3,solve-not-punish-self,label,要解决问题，不惩罚身体,,人格归因按钮主文案
3,operator-hidden-charge,运营商扣费,attributions,3,solve-not-punish-self,description,把经验沉淀为追查扣费，而不是压缩基本需求。,,人格归因说明
3,operator-hidden-charge,运营商扣费,attributions,4,turn-anger-into-action,label,把愤怒变成行动,,人格归因按钮主文案
3,operator-hidden-charge,运营商扣费,attributions,4,turn-anger-into-action,description,用查账单、投诉和记录夺回控制感。,,人格归因说明
4,armor-hole-trivia,板甲上的奇怪开口,event,,armor-hole-trivia,title,板甲上的奇怪开口,,事件标题
4,armor-hole-trivia,板甲上的奇怪开口,event,,armor-hole-trivia,theme,荒诞冷知识题,,可选主题字段
4,armor-hole-trivia,板甲上的奇怪开口,event,,armor-hole-trivia,text,你在一个群聊里看到别人发来一张中世纪板甲图，下前甲片上有个显眼的圆形开口。配文问：“这个洞的用途是什么？A. 透气 B. 展示雄风 C. 设计缺陷 D. 都行。”群里已经有人一本正经分析，也有人开始起哄。,,事件正文
4,armor-hole-trivia,板甲上的奇怪开口,event,,armor-hole-trivia,image,/images/events/armor-hole.png,,插图路径，通常不用改
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,1,is-this-history-or-bait,text,等一下，这题到底是在考历史，还是在钓大家开黄腔？,,第一反应选项，玩家可见
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,1,is-this-history-or-bait,tone,辨框,,内部倾向，可改但不会直接显示
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,2,actually-thinking-function,text,我第一反应居然真在想它的结构功能……,,第一反应选项，玩家可见
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,2,actually-thinking-function,tone,认真,,内部倾向，可改但不会直接显示
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,3,too-much-male-gaze,text,这也太像那种默认大家都要跟着笑的男凝玩笑了吧。,,第一反应选项，玩家可见
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,3,too-much-male-gaze,tone,反感,,内部倾向，可改但不会直接显示
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,4,watch-others-answer,text,我先看看别人会怎么答，这种题很容易暴露气氛。,,第一反应选项，玩家可见
4,armor-hole-trivia,板甲上的奇怪开口,firstReactions,4,watch-others-answer,tone,观察,,内部倾向，可改但不会直接显示
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,1,knowledge-joke-mix,label,知识和玩笑混在一起,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,1,knowledge-joke-mix,text,你注意到的不是洞本身，而是这道题故意把严肃知识和低级玩笑混在一起。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,1,knowledge-joke-mix,description,这道题把严肃冷知识和低级玩笑揉成了一团。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,1,knowledge-joke-mix,type,mixed_frame,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,2,group-direction,label,群体会往哪边带,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,2,group-direction,text,你开始在意：群体会把这件事往科普方向带，还是往起哄方向带。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,2,group-direction,description,重点变成群聊会把它当科普，还是当起哄入口。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,2,group-direction,type,social_drift,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,3,design-authority-display,label,设计用途背后的展示欲,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,3,design-authority-display,text,你盯住的是“设计用途”这个问题背后的权力和审美暗示。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,3,design-authority-display,description,“用途”这个问题里藏着权力、身体和审美的暗示。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,3,design-authority-display,type,power_structure,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,4,standard-answer-anxiety,label,标准答案焦虑,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,4,standard-answer-anxiety,text,你忍不住想问：这题到底有没有标准答案，还是在诱导大家选一个姿势。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,4,standard-answer-anxiety,description,题目看起来像选择题，但标准可能根本不稳定。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,4,standard-answer-anxiety,type,unclear_rule,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,5,male-gaze-default,label,默认视角,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,5,male-gaze-default,text,你其实在确认：这是无害玩笑，还是一种默认男性视角的展示。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,5,male-gaze-default,description,这个玩笑可能默认了某种男性视角和展示逻辑。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,5,male-gaze-default,type,default_gaze,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,6,cheap-joke-resistance,label,对低级玩笑的反感,,注意力标题/标签
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,6,cheap-joke-resistance,text,你不是不懂梗，只是有点烦这种把人往低级笑点里推的气氛。,,注意力浮现文案
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,6,cheap-joke-resistance,description,你对“大家都懂”的暧昧起哄有一点本能不耐烦。,,注意力说明
4,armor-hole-trivia,板甲上的奇怪开口,attentionHooks,6,cheap-joke-resistance,type,joke_resistance,,注意力统计类型
4,armor-hole-trivia,板甲上的奇怪开口,tags,1,this-is-frame-bait,label,这题在钓大家怎么站队,,事件标注按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,tags,1,this-is-frame-bait,description,它表面问用途，实际在看你会往知识、玩笑还是起哄里走。,,事件标注说明
4,armor-hole-trivia,板甲上的奇怪开口,tags,2,i-want-real-answer,label,我想先知道它到底有没有正经答案,,事件标注按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,tags,2,i-want-real-answer,description,你更在意题目是否严谨，而不是先加入玩笑。,,事件标注说明
4,armor-hole-trivia,板甲上的奇怪开口,tags,3,cheap-joke-disguised-as-trivia,label,这是披着冷知识皮的低级玩笑,,事件标注按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,tags,3,cheap-joke-disguised-as-trivia,description,你把它理解成用历史外壳包装暧昧起哄。,,事件标注说明
4,armor-hole-trivia,板甲上的奇怪开口,tags,4,maybe-just-silly-fun,label,也许就是大家随便乐一下,,事件标注按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,tags,4,maybe-just-silly-fun,description,你先把它放在轻松荒诞的语境里，不急着定罪。,,事件标注说明
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,1,look-up-before-answering,label,先查一下再说,,行为回应按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,1,look-up-before-answering,description,你不急着选，先去确认它是不是有历史来源。,,行为回应说明
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,2,drop-a-dry-joke,label,用干巴巴的冷笑话接住,,行为回应按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,2,drop-a-dry-joke,description,你不完全扫兴，但也不把自己交给起哄。,,行为回应说明
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,3,call-out-the-frame,label,直接指出这题在诱导起哄,,行为回应按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,3,call-out-the-frame,description,你把玩笑背后的框架说出来，让群里别装没看见。,,行为回应说明
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,4,stay-quiet-and-read-room,label,先不答，看群里怎么飘,,行为回应按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,behaviors,4,stay-quiet-and-read-room,description,你把这当成观察群体气氛的小窗口。,,行为回应说明
4,armor-hole-trivia,板甲上的奇怪开口,attributions,1,uncertain-info-needs-frame-reading,label,模糊信息要先读框架,,人格归因按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,attributions,1,uncertain-info-needs-frame-reading,description,以后遇到似是而非的梗，你会先看它在引导什么。,,人格归因说明
4,armor-hole-trivia,板甲上的奇怪开口,attributions,2,rigor-keeps-me-grounded,label,标准答案能帮我稳住场面,,人格归因按钮主文案
4,armor-hole-trivia,板甲上的奇怪开口,attributions,2,rigor-keeps-me-grounded,description,你把荒诞题转成查证、对齐和判断依据。,,人格归因说明
